No,;Time;;Source;Destination;Protocol;Length;Info;;;Time 1;Time 2;;Delay1;;Delay 2;;Jitter
63;1.810.240;1,81024;192,168,100,98;104,22,1,235;TCP;66;56803  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;1,81024;1,855889;;0,045649;;0,055172;;0,009523
64;1.855.889;1,855889;104,22,1,235;192,168,100,98;TCP;56;443  >  56802 [ACK] Seq=1026 Ack=1071 Win=68608 Len=0;;;1,855889;1,911061;;0,055172;;0,000243;;0,054929
65;1.911.061;1,911061;104,22,1,235;192,168,100,98;TCP;66;443  >  56803 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;1,911061;1,911304;;0,000243;;0,000992;;0,000749
66;1.911.304;1,911304;192,168,100,98;104,22,1,235;TCP;54;56803  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;1,911304;1,912296;;0,000992;;0,107275;;0,106283
67;1.912.296;1,912296;192,168,100,98;104,22,1,235;TLSv1;372;Client Hello;;;1,912296;2,019571;;0,107275;;0,009913;;0,097362
69;2.019.571;2,019571;104,22,1,235;192,168,100,98;TCP;54;443  >  56803 [ACK] Seq=1 Ack=319 Win=67584 Len=0;;;2,019571;2,029484;;0,009913;;0,001937;;0,007976
70;2.029.484;2,029484;104,22,1,235;192,168,100,98;TLSv1;177;Server Hello, Change Cipher Spec, Encrypted Handshake Message;;;2,029484;2,031421;;0,001937;;0,104729;;0,102792
72;2.031.421;2,031421;192,168,100,98;104,22,1,235;TLSv1;699;Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data;;;2,031421;2,13615;;0,104729;;0,000101;;0,104628
73;2.136.150;2,13615;104,22,1,235;192,168,100,98;TCP;56;443  >  56803 [ACK] Seq=124 Ack=964 Win=68608 Len=0;;;2,13615;2,136251;;0,000101;;0,081674;;0,081573
74;2.136.251;2,136251;192,168,100,98;104,22,1,235;TLSv1;160;Application Data, Application Data;;;2,136251;2,217925;;0,081674;;0,208821;;0,127147
76;2.217.925;2,217925;104,22,1,235;192,168,100,98;TCP;56;443  >  56803 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;2,217925;2,426746;;0,208821;;0,000118;;0,208703
77;2.426.746;2,426746;104,22,1,235;192,168,100,98;TCP;54;[TCP Previous segment not captured] 443  >  56803 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0;;;2,426746;2,426864;;0,000118;;0,01986;;0,019742
78;2.426.864;2,426864;192,168,100,98;104,22,1,235;TCP;54;[TCP Dup ACK 72#1] 56803  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;2,426864;2,446724;;0,01986;;0,000178;;0,019682
80;2.446.724;2,446724;104,22,1,235;192,168,100,98;TCP;955;[TCP Out-Of-Order] 443  >  56803 [PSH, ACK] Seq=124 Ack=1070 Win=68608 Len=901;;;2,446724;2,446902;;0,000178;;0,00094;;0,000762
81;2.446.902;2,446902;192,168,100,98;104,22,1,235;TCP;54;56803  >  443 [ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;2,446902;2,447842;;0,00094;;0,042835;;0,041895
82;2.447.842;2,447842;192,168,100,98;104,22,1,235;TCP;54;56803  >  443 [FIN, ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;2,447842;2,490677;;0,042835;;0,078685;;0,03585
83;2.490.677;2,490677;192,168,100,98;104,22,1,235;TCP;66;56804  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;2,490677;2,569362;;0,078685;;0,024363;;0,054322
84;2.569.362;2,569362;104,22,1,235;192,168,100,98;TCP;56;443  >  56803 [ACK] Seq=1026 Ack=1071 Win=68608 Len=0;;;2,569362;2,593725;;0,024363;;0,000394;;0,023969
85;2.593.725;2,593725;192,168,100,98;74,125,68,91;TLSv1,2;805;Application Data;;;2,593725;2,594119;;0,000394;;0,026723;;0,026329
86;2.594.119;2,594119;192,168,100,98;74,125,68,91;TLSv1,2;93;Application Data;;;2,594119;2,620842;;0,026723;;0,000253;;0,02647
87;2.620.842;2,620842;104,22,1,235;192,168,100,98;TCP;66;443  >  56804 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;2,620842;2,621095;;0,000253;;0,001011;;0,000758
88;2.621.095;2,621095;192,168,100,98;104,22,1,235;TCP;54;56804  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;2,621095;2,622106;;0,001011;;0,143166;;0,142155
89;2.622.106;2,622106;192,168,100,98;104,22,1,235;TLSv1;372;Client Hello;;;2,622106;2,765272;;0,143166;;0,01423;;0,128936
91;2.765.272;2,765272;192,168,100,98;74,125,68,119;TCP;55;56446  >  443 [ACK] Seq=1 Ack=1 Win=2051 Len=1 [TCP segment of a reassembled PDU];;;2,765272;2,779502;;0,01423;;0,045231;;0,031001
92;2.779.502;2,779502;74,125,68,119;192,168,100,98;TCP;66;443  >  56446 [ACK] Seq=1 Ack=2 Win=443 Len=0 SLE=1 SRE=2;;;2,779502;2,824733;;0,045231;;0,179473;;0,134242
93;2.824.733;2,824733;192,168,100,98;74,125,68,91;TCP;844;[TCP Retransmission] 56441  >  443 [PSH, ACK] Seq=1 Ack=1 Win=4134 Len=790;;;2,824733;3,004206;;0,179473;;0,060596;;0,118877
95;3.004.206;3,004206;192,168,100,98;104,22,1,235;TCP;372;[TCP Retransmission] 56804  >  443 [PSH, ACK] Seq=1 Ack=1 Win=131584 Len=318;;;3,004206;3,064802;;0,060596;;0,011638;;0,048958
